datetime,XECBUSD_open,XECBUSD_high,XECBUSD_low,XECBUSD_close
2022-01-01 00:00:00,0.00010869,0.00011055,0.00010862,0.00010971
2022-01-01 01:00:00,0.00010997,0.00011033,0.00010967,0.00010967
2022-01-01 02:00:00,0.00010964,0.00011026,0.00010944,0.0001102
2022-01-01 03:00:00,0.00011025,0.00011038,0.00011001,0.00011025
2022-01-01 04:00:00,0.00011008,0.00011028,0.00010937,0.00010978
2022-01-01 05:00:00,0.00010985,0.00011002,0.000109,0.00010918
2022-01-01 06:00:00,0.00010929,0.00010971,0.00010904,0.00010906
2022-01-01 07:00:00,0.00010909,0.00010972,0.000109,0.00010941
2022-01-01 08:00:00,0.00010942,0.00010995,0.00010942,0.00010961
2022-01-01 09:00:00,0.00010967,0.00010999,0.0001094,0.00010969
2022-01-01 10:00:00,0.00010951,0.00011031,0.00010951,0.00010995
2022-01-01 11:00:00,0.00010988,0.00011028,0.00010978,0.00011
2022-01-01 12:00:00,0.00011,0.000111,0.00010977,0.0001108
2022-01-01 13:00:00,0.0001108,0.00011098,0.0001103,0.00011057
2022-01-01 14:00:00,0.0001104,0.00011053,0.00010997,0.00011026
2022-01-01 15:00:00,0.00011026,0.0001105,0.00011011,0.00011011
2022-01-01 16:00:00,0.00011011,0.0001105,0.00011,0.00011023
2022-01-01 17:00:00,0.00011003,0.00011039,0.00010995,0.00011021
2022-01-01 18:00:00,0.00011007,0.0001108,0.00011007,0.00011078
2022-01-01 19:00:00,0.0001108,0.00011085,0.00011015,0.00011051
2022-01-01 20:00:00,0.00011042,0.00011042,0.00011004,0.00011011
2022-01-01 21:00:00,0.00011011,0.00011046,0.00011008,0.00011029
2022-01-01 22:00:00,0.00011029,0.00011056,0.00011026,0.00011037
2022-01-01 23:00:00,0.00011038,0.00011085,0.00010955,0.0001098
2022-01-02 00:00:00,0.00010961,0.00011017,0.00010961,0.00010987
2022-01-02 01:00:00,0.00011,0.00011017,0.00010974,0.00011005
2022-01-02 02:00:00,0.00011,0.00011027,0.00010987,0.00011005
2022-01-02 03:00:00,0.00011,0.00011051,0.00010975,0.00011028
2022-01-02 04:00:00,0.00011034,0.00011221,0.00011012,0.00011088
2022-01-02 05:00:00,0.0001108,0.00011275,0.00011068,0.00011222
2022-01-02 06:00:00,0.00011238,0.00011274,0.00011182,0.00011273
2022-01-02 07:00:00,0.00011273,0.00011493,0.00011273,0.00011373
2022-01-02 08:00:00,0.00011402,0.00011402,0.00011261,0.00011266
2022-01-02 09:00:00,0.00011285,0.0001137,0.000112,0.00011298
2022-01-02 10:00:00,0.0001132,0.00011529,0.00011292,0.00011529
2022-01-02 11:00:00,0.00011513,0.00011659,0.00011499,0.0001162
2022-01-02 12:00:00,0.00011638,0.0001186,0.0001146,0.0001156
2022-01-02 13:00:00,0.0001156,0.0001156,0.00011317,0.0001143
2022-01-02 14:00:00,0.00011429,0.00011498,0.00011368,0.00011455
2022-01-02 15:00:00,0.00011439,0.0001147,0.00011351,0.0001138
2022-01-02 16:00:00,0.00011401,0.00011435,0.00011366,0.00011379
2022-01-02 17:00:00,0.00011368,0.00011392,0.00011311,0.00011331
2022-01-02 18:00:00,0.00011339,0.00011374,0.00011326,0.00011347
2022-01-02 19:00:00,0.00011347,0.00012054,0.0001125,0.00011912
2022-01-02 20:00:00,0.00011899,0.00011899,0.00011482,0.00011502
2022-01-02 21:00:00,0.00011502,0.00011625,0.0001146,0.00011503
2022-01-02 22:00:00,0.00011535,0.00011648,0.0001144,0.00011485
2022-01-02 23:00:00,0.00011522,0.00011553,0.00011455,0.00011488
2022-01-03 00:00:00,0.00011502,0.00011531,0.00011363,0.00011413
2022-01-03 01:00:00,0.00011402,0.00011591,0.00011402,0.00011576
2022-01-03 02:00:00,0.00011565,0.00011805,0.00011565,0.00011651
2022-01-03 03:00:00,0.00011621,0.00011621,0.00011509,0.00011582
